league,team_a,team_b,chi2,p,sig,n_actions_a,n_actions_b,zones_tested
FA WSL 2020-21,Chelsea FCW,West Ham United LFC,278.29,0.0,***,25656,17458,18
FA WSL 2020-21,Everton LFC,Manchester City WFC,630.76,0.0,***,22516,28875,18
FA WSL 2020-21,Everton LFC,Manchester United,330.96,0.0,***,22516,21750,18
FA WSL 2020-21,Everton LFC,Reading WFC,126.24,0.0,***,22516,19798,18
FA WSL 2020-21,Everton LFC,Tottenham Hotspur Women,36.75,0.003634,**,22516,18548,18
FA WSL 2020-21,Everton LFC,West Ham United LFC,45.7,0.000191,***,22516,17458,18
FA WSL 2020-21,Manchester City WFC,Manchester United,42.55,0.000558,***,28875,21750,18
FA WSL 2020-21,Manchester City WFC,Reading WFC,217.34,0.0,***,28875,19798,18
FA WSL 2020-21,Manchester City WFC,Tottenham Hotspur Women,395.84,0.0,***,28875,18548,18
FA WSL 2020-21,Manchester City WFC,West Ham United LFC,233.29,0.0,***,28875,17458,18
FA WSL 2020-21,Manchester United,Reading WFC,121.82,0.0,***,21750,19798,18
FA WSL 2020-21,Manchester United,Tottenham Hotspur Women,284.96,0.0,***,21750,18548,18
FA WSL 2020-21,Manchester United,West Ham United LFC,164.48,0.0,***,21750,17458,18
FA WSL 2020-21,Reading WFC,Tottenham Hotspur Women,134.82,0.0,***,19798,18548,18
FA WSL 2020-21,Reading WFC,West Ham United LFC,75.4,0.0,***,19798,17458,18
FA WSL 2020-21,Tottenham Hotspur Women,West Ham United LFC,65.56,0.0,***,18548,17458,18
